strava_id,athlete_id,name,date,distance_m,duration_s,elevation_m,avg_heartrate,avg_pace_s_per_km
10538245657,127270170,Course à pied dans l'après-midi,2024-01-11 15:56:50,6151.8,2674,40.5,,434.66952761793294
10555919324,127270170,Course à pied le matin,2024-01-14 09:27:49,16725.6,6397,43.5,,382.4675945855455
10608402948,127270170,Course à pied le soir,2024-01-22 17:06:13,6042.5,2423,40.6,,400.992966487381
10628943612,127270170,Course à pied le soir,2024-01-25 18:42:05,8968.8,4237,62.7,,472.4154847917224
10646013598,127270170,Course à pied du midi,2024-01-28 09:29:15,20432.8,8170,43.6,,399.84730433420776
10669255081,127270170,Course à pied le soir,2024-01-31 17:51:19,4002.7,1847,33.8,,461.4385289929298
10729198425,127270170,Course à pied le soir,2024-02-09 18:53:57,6176.1,2874,39.6,,465.3422062466605
10748669427,127270170,Course à pied le soir,2024-02-12 17:49:53,8932.4,3521,76.9,,394.18297434060275
10755389648,127270170,Course à pied le soir,2024-02-13 17:58:23,5053.4,1985,40.6,,392.8048442632683
10768673461,127270170,Course à pied le soir,2024-02-15 18:01:35,10032.7,3796,71.9,,378.36275379509004
10785907201,127270170,Course à pied du midi,2024-02-18 08:56:50,21405.8,8571,69.6,,400.4054975754235
10809292429,127270170,Course à pied le soir,2024-02-21 18:14:06,5105.4,1780,37.2,,348.6504485446782
10822571571,127270170,Course à pied de nuit,2024-02-23 21:00:10,5063.5,1640,30.2,,323.88663967611336
10887516072,127270170,Course à pied dans l'après-midi,2024-03-04 11:48:33,5048.4,1751,42.7,,346.84256398066714
10912118809,127270170,Course à pied de nuit,2024-03-07 18:58:09,10819.9,3991,72.1,,368.8573831551123
10994351647,127270170,De retour du ski,2024-03-19 16:46:52,6249.9,2218,46.0,,354.8856781708508
11007373896,127270170,Chaleur + pollens = Faut que je me prépare,2024-03-21 11:37:50,10100.6,3586,70.4,,355.0284141536146
11040892606,127270170,Tout pour un 5Km,2024-03-26 11:28:47,5025.1,1607,38.1,,319.79463095261787
11127764404,127270170,Course à pied dans l'après-midi,2024-04-07 08:40:35,43899.3,20465,192.0,,466.1805541318426
11127760951,127270170,Marathon de Paris,2024-04-07 08:41:01,43157.1,19448,185.3,,450.6326884799952
11270286526,127270170,BACK TO (BLACK) RUN,2024-04-26 18:20:54,4539.8,1897,29.0,,417.85981761311064
11481019701,127270170,Course à pied le soir,2024-05-23 17:59:47,5528.0,2086,37.8,,377.35166425470334
11485122759,127270170,Marche / course pour le NFL,2024-05-24 08:49:40,12091.9,5542,43.9,,458.32334041796577
11718570052,127270170,Course à pied le midi,2024-06-23 10:03:56,4692.5,1836,35.0,,391.26265316995205
11889109956,127270170,Course à pied en soirée,2024-07-14 18:27:45,5462.9,1993,43.3,,364.82454374050417
12072376309,127270170,1ère course à NYC - molo molo,2024-08-05 22:26:23,1766.7,646,0.0,,365.65347823625973
12131895223,127270170,J’arrive plus à retrouver ma force d’avant 😔,2024-08-12 22:36:35,2896.7,1087,7.0,,375.25460006213973
12150353658,127270170,Night Run,2024-08-14 22:26:52,1824.4,577,0.0,,316.26836220127166
